opcode	handler	handler_symbol	confidence	schema	static_paths	name	variable_operands	uses	resources	first_site
0x0c	0x4d4e	bin_handler_add_scene_entry	high	BBp	BBp	add_scene_entry	-	86	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,INTRO.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTE.BIN,OUTF.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x017b
0x0d	0x4d82	bin_handler_change_scene	verified	zz	zz	change_scene	-	159	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,INTRO.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTE.BIN,OUTF.BIN,OUTGL.BIN,OUTGR.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN	LOGO.BIN@0x0234
0x0e	0x4535	bin_handler_nop	verified	-	-	nop	-	0	-	-
0x0f	0x5089	bin_handler_adjust_thread_delay	high	H	H	adjust_thread_delay	-	728	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,INTRO.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTE.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x01a3
0x10	0x4c61	bin_handler_configure_scene_thread_action	verified	BHHp	BHHp	configure_scene_thread_action	-	34	AHAL.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,FIRST.BIN,GHALPL.BIN,GHALPR.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTF.BIN,OUTGL.BIN,OUTGR.BIN	FIRST.BIN@0x016d
0x11	0x4ee6	bin_handler_add_navigation_arrival_handler	verified	BHs	BH/BHH	add_navigation_arrival_handler	-	107	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,INTRO.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTE.BIN,OUTF.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x0182
0x12	0x4fb0	bin_handler_add_navigation_departure_handler	verified	BHs	BH/BHH	add_navigation_departure_handler	-	10	BHAL.BIN,GHALPL.BIN,GHALPR.BIN,OUTGL.BIN,OUTGR.BIN	OUTGR.BIN@0x050f
0x13	0x51ff	bin_handler_remove_dialogue_choice	high	H	H	remove_dialogue_choice	-	0	-	-
0x14	0x52a3	bin_handler_show_dialogue	verified	p	-/p	show_adversary_dialogue	-	10	FACE.BIN	FACE.BIN@0x0827
0x15	0x5384	bin_handler_select_study_record	verified	B	B	select_study_record	-	102	AHAL.BIN,BHAL.BIN,CHAL.BIN,CP2.BIN,CP3.BIN,CULT.BIN,DENY.BIN,DHAL.BIN,EHAL.BIN,FEAR.BIN,FHAL.BIN,GHAL.BIN,JELO.BIN,LAW.BIN,NAGE.BIN,POWER.BIN,RICH.BIN,ROOM1.BIN,ROOM3.BIN	CP3.BIN@0x08e6
0x16	0x5543	bin_handler_set_palette_adjustment_range_from_variable	verified	HHH	HHH	set_palette_adjustment_range_from_variable	2	69	AHAL.BIN,BHAL.BIN,CHAL.BIN,CP2.BIN,CP3.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FHAL.BIN,GHAL.BIN,GHALB.BIN,GHALS.BIN,INTRO.BIN,KABLAM.BIN,LOGO.BIN,NAGE.BIN,OUTE.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x0152
0x17	0x4f44	bin_handler_add_edge_transition_handler	verified	BHs	BH/BHH	add_reverse_edge_departure_handler	-	5	AHAL.BIN,FIRST.BIN	FIRST.BIN@0x019f
0x18	0x4f44	bin_handler_add_edge_transition_handler	verified	BHs	BH/BHH	add_forward_edge_departure_handler	-	0	-	-
0x19	0x4f44	bin_handler_add_edge_transition_handler	verified	BHs	BH/BHH	add_forward_edge_arrival_handler	-	6	GANTRY.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTF.BIN	GANTRY.BIN@0x016a
